N,D,age,sex,year,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,lost,total,edagger,decile,age_2,check_death,check_pop
101397,1326,0,1,1981,1,.01307731,.1,.01292519,.98707481,100000,1292.519,98836.733,6897917.8,68.979178,89093.492,1146536.9,11.465369,999,,,
100230,94,1,1,1981,1,.00093784,.5,.0009374,.9990626,98707.481,92.52872,98661.217,6799081.1,68.881112,6330.1855,1146536.9,11.465369,999,,,
93663,54,2,1,1981,1,.00057654,.5,.00057637,.99942363,98614.953,56.83859,98586.533,6700419.9,67.945273,3834.5995,1146536.9,11.465369,999,,,
88881,48,3,1,1981,1,.00054005,.5,.0005399,.9994601,98558.114,53.21174,98531.508,6601833.4,66.984169,3538.6937,1146536.9,11.465369,999,,,
90411,39,4,1,1981,1,.00043136,.5,.00043127,.99956873,98504.902,42.48225,98483.661,6503301.8,66.020083,2784.041,1146536.9,11.465369,999,,,
97233,37,5,1,1981,1,.00038053,.5,.00038046,.99961954,98462.42,37.4607,98443.69,6404818.2,65.048352,2418.4867,1146536.9,11.465369,999,,,
98340,35,6,1,1981,1,.00035591,.5,.00035584,.99964416,98424.959,35.02401,98407.447,6306374.5,64.072919,2226.9746,1146536.9,11.465369,999,,,
103659,25,7,1,1981,1,.00024118,.5,.00024115,.99975885,98389.935,23.72637,98378.072,6207967.1,63.09555,1485.3443,1146536.9,11.465369,999,,,
110208,36,8,1,1981,1,.00032666,.5,.0003266,.9996734,98366.209,32.12657,98350.146,6109589,62.110648,1979.6622,1146536.9,11.465369,999,,,
119313,33,9,1,1981,1,.00027658,.5,.00027655,.99972345,98334.082,27.19382,98320.486,6011238.8,61.130777,1649.0104,1146536.9,11.465369,999,,,
124503,30,10,1,1981,1,.00024096,.5,.00024093,.99975907,98306.889,23.68498,98295.046,5912918.3,60.147548,1412.9214,1146536.9,11.465369,999,,,
126645,48,11,1,1981,1,.00037901,.5,.00037894,.99962106,98283.204,37.24348,98264.582,5814623.3,59.161923,2185.1881,1146536.9,11.465369,999,,,
131985,43,12,1,1981,1,.00032579,.5,.00032574,.99967426,98245.96,32.00279,98229.959,5716358.7,58.184161,1846.3548,1146536.9,11.465369,999,,,
134421,36,13,1,1981,1,.00026782,.5,.00026778,.99973222,98213.957,26.29968,98200.808,5618128.8,57.202957,1491.4693,1146536.9,11.465369,999,,,
136620,53,14,1,1981,1,.00038794,.5,.00038786,.99961214,98187.658,38.08327,98168.616,5519928,56.218145,2122.3409,1146536.9,11.465369,999,,,
136578,81,15,1,1981,1,.00059307,.5,.00059289,.99940711,98149.574,58.19209,98120.478,5421759.3,55.239764,3186.3659,1146536.9,11.465369,999,,,
142992,81,16,1,1981,1,.00056647,.5,.0005663,.9994337,98091.382,55.54963,98063.608,5323638.9,54.272238,2987.8739,1146536.9,11.465369,999,,,
137466,142,17,1,1981,1,.00103298,.5,.00103245,.99896755,98035.833,101.217,97985.224,5225575.3,53.302707,5347.2956,1146536.9,11.465369,999,,,
134943,155,18,1,1981,1,.00114863,.5,.00114797,.99885203,97934.616,112.4264,97878.402,5127590,52.357279,5833.4763,1146536.9,11.465369,999,,,
129813,139,19,1,1981,1,.00107077,.5,.0010702,.9989298,97822.189,104.6891,97769.845,5029711.6,51.416879,5333.2984,1146536.9,11.465369,999,,,
127983,141,20,1,1981,1,.00110171,.5,.0011011,.9988989,97717.5,107.597,97663.702,4931941.8,50.471428,5379.7373,1146536.9,11.465369,999,,,
122211,134,21,1,1981,1,.00109646,.5,.00109586,.99890414,97609.903,106.9671,97556.42,4834278.1,49.526512,5247.1021,1146536.9,11.465369,999,,,
119322,130,22,1,1981,1,.00108949,.5,.0010889,.9989111,97502.936,106.1705,97449.851,4736721.7,48.580298,5107.4931,1146536.9,11.465369,999,,,
115608,121,23,1,1981,1,.00104664,.5,.00104609,.99895391,97396.766,101.8861,97345.823,4639271.8,47.632709,4804.6809,1146536.9,11.465369,999,,,
111708,121,24,1,1981,1,.00108318,.5,.00108259,.99891741,97294.879,105.3309,97242.214,4541926,46.682066,4867.036,1146536.9,11.465369,999,,,
108387,118,25,1,1981,1,.00108869,.5,.0010881,.9989119,97189.549,105.7519,97136.673,4444683.8,45.732117,4785.9858,1146536.9,11.465369,999,,,
104154,130,26,1,1981,1,.00124815,.5,.00124737,.99875263,97083.797,121.0997,97023.247,4347547.1,44.781387,5365.8131,1146536.9,11.465369,999,,,
103392,113,27,1,1981,1,.00109293,.5,.00109233,.99890767,96962.697,105.9154,96909.739,4250523.9,43.836692,4592.5309,1146536.9,11.465369,999,,,
101127,82,28,1,1981,1,.00081086,.5,.00081053,.99918947,96856.782,78.50562,96817.529,4153614.1,42.884081,3328.738,1146536.9,11.465369,999,,,
98997,108,29,1,1981,1,.00109094,.5,.00109035,.99890965,96778.276,105.5219,96725.515,4056796.6,41.918463,4372.942,1146536.9,11.465369,999,,,
101766,119,30,1,1981,1,.00116935,.5,.00116867,.99883133,96672.754,112.9782,96616.265,3960071.1,40.963673,4574.1859,1146536.9,11.465369,999,,,
102696,116,31,1,1981,1,.00112955,.5,.00112891,.99887109,96559.776,109.0073,96505.272,3863454.8,40.011017,4309.4222,1146536.9,11.465369,999,,,
106878,123,32,1,1981,1,.00115084,.5,.00115018,.99884982,96450.769,110.936,96395.301,3766949.5,39.055671,4279.6759,1146536.9,11.465369,999,,,
113706,133,33,1,1981,1,.00116968,.5,.001169,.998831,96339.833,112.6212,96283.522,3670554.2,38.100069,4237.0437,1146536.9,11.465369,999,,,
115884,151,34,1,1981,1,.00130303,.5,.00130218,.99869782,96227.211,125.305,96164.559,3574270.7,37.144075,4594.6804,1146536.9,11.465369,999,,,
89172,162,35,1,1981,1,.00181671,.5,.00181507,.99818493,96101.906,174.4312,96014.691,3478106.2,36.191854,6231.4337,1146536.9,11.465369,999,,,
92070,173,36,1,1981,1,.00187901,.5,.00187724,.99812276,95927.475,180.079,95837.436,3382091.5,35.256755,6264.8484,1146536.9,11.465369,999,,,
92652,161,37,1,1981,1,.00173769,.5,.00173618,.99826382,95747.396,166.2344,95664.279,3286254,34.322124,5627.2894,1146536.9,11.465369,999,,,
90093,172,38,1,1981,1,.00190914,.5,.00190732,.99809268,95581.162,182.3036,95490.01,3190589.7,33.380948,6000.0437,1146536.9,11.465369,999,,,
84192,196,39,1,1981,1,.00232801,.5,.00232531,.99767469,95398.858,221.8315,95287.942,3095099.7,32.443782,7094.3944,1146536.9,11.465369,999,,,
82521,243,40,1,1981,1,.0029447,.5,.00294038,.99705962,95177.027,279.8562,95037.098,2999811.8,31.518234,8693.4459,1146536.9,11.465369,999,,,
85668,261,41,1,1981,1,.00304665,.5,.00304201,.99695799,94897.17,288.6783,94752.831,2904774.7,30.609708,8705.2789,1146536.9,11.465369,999,,,
85833,273,42,1,1981,1,.00318059,.5,.00317554,.99682446,94608.492,300.4335,94458.275,2810021.9,29.701582,8787.1076,1146536.9,11.465369,999,,,
85527,292,43,1,1981,1,.00341413,.5,.00340831,.99659169,94308.059,321.4309,94147.343,2715563.6,28.794608,9110.3143,1146536.9,11.465369,999,,,
84024,318,44,1,1981,1,.00378463,.5,.00377748,.99622252,93986.628,355.0331,93809.111,2621416.2,27.891375,9743.2807,1146536.9,11.465369,999,,,
83817,420,45,1,1981,1,.00501092,.5,.00499839,.99500161,93631.595,468.0075,93397.591,2527607.1,26.995238,12431.117,1146536.9,11.465369,999,,,
83253,391,46,1,1981,1,.00469653,.5,.00468552,.99531448,93163.587,436.5203,92945.327,2434209.5,26.128336,11213.621,1146536.9,11.465369,999,,,
83010,490,47,1,1981,1,.0059029,.5,.00588553,.99411447,92727.067,545.7482,92454.193,2341264.2,25.248984,13546.695,1146536.9,11.465369,999,,,
83247,534,48,1,1981,1,.00641465,.5,.00639414,.99360586,92181.319,589.42,91886.609,2248810,24.395507,14129.81,1146536.9,11.465369,999,,,
84762,590,49,1,1981,1,.00696067,.5,.00693652,.99306348,91591.899,635.3295,91274.234,2156923.4,23.549282,14695.031,1146536.9,11.465369,999,,,
85449,680,50,1,1981,1,.00795796,.5,.00792642,.99207358,90956.569,720.9603,90596.089,2065649.2,22.71028,16076.7,1146536.9,11.465369,999,,,
83538,785,51,1,1981,1,.00939692,.5,.00935298,.99064702,90235.609,843.9716,89813.623,1975053.1,21.887735,18135.851,1146536.9,11.465369,999,,,
84150,869,52,1,1981,1,.0103268,.5,.01027375,.98972625,89391.637,918.3873,88932.444,1885239.5,21.089663,19007.428,1146536.9,11.465369,999,,,
81681,911,53,1,1981,1,.01115314,.5,.01109129,.98890871,88473.25,981.2828,87982.609,1796307,20.303391,19541.703,1146536.9,11.465369,999,,,
83586,1026,54,1,1981,1,.01227478,.5,.01219991,.98780009,87491.967,1067.394,86958.27,1708324.4,19.5255,20433.109,1146536.9,11.465369,999,,,
85590,1180,55,1,1981,1,.01378666,.5,.01369227,.98630773,86424.573,1183.349,85832.899,1621366.1,18.760476,21758.5,1146536.9,11.465369,999,,,
81294,1293,56,1,1981,1,.01590523,.5,.01577974,.98422026,85241.224,1345.085,84568.682,1535533.2,18.013975,23746.625,1146536.9,11.465369,999,,,
82518,1419,57,1,1981,1,.01719625,.5,.01704965,.98295035,83896.14,1430.4,83180.94,1450964.6,17.294771,24231.588,1146536.9,11.465369,999,,,
80562,1605,58,1,1981,1,.01992254,.5,.01972605,.98027395,82465.74,1626.723,81652.378,1367783.6,16.586083,26430.889,1146536.9,11.465369,999,,,
85149,1740,59,1,1981,1,.02043477,.5,.02022809,.97977191,80839.017,1635.219,80021.407,1286131.2,15.909783,25458.488,1146536.9,11.465369,999,,,
84051,1903,60,1,1981,1,.02264102,.5,.02238758,.97761242,79203.798,1773.181,78317.207,1206109.8,15.227929,26414.31,1146536.9,11.465369,999,,,
78990,1872,61,1,1981,1,.0236992,.5,.02342167,.97657833,77430.617,1813.554,76523.84,1127792.6,14.565203,25813.888,1146536.9,11.465369,999,,,
60240,1804,62,1,1981,1,.02994688,.5,.02950509,.97049491,75617.063,2231.088,74501.519,1051268.8,13.902534,30356.777,1146536.9,11.465369,999,,,
57015,1793,63,1,1981,1,.03144786,.5,.03096104,.96903896,73385.975,2272.106,72249.922,976767.27,13.309999,29570.639,1146536.9,11.465369,999,,,
62871,1988,64,1,1981,1,.0316203,.5,.03112816,.96887184,71113.869,2213.644,70007.047,904517.35,12.719282,27483.662,1146536.9,11.465369,999,,,
